"council","file"
"Ashburton District Council","Ashburton_District_Council.csv"
"Auckland Council","Auckland_Council.csv"
"Auckland Transport","Auckland_Transport.csv"
"Bay of Plenty Regional Council","Bay_of_Plenty_Regional_Council.csv"
"Buller District Council","Buller_District_Council.csv"
"Canterbury Regional Council","Canterbury_Regional_Council.csv"
"Carterton District Council","Carterton_District_Council.csv"
"Central Hawkes Bay District Council","Central_Hawkes_Bay_District_Council.csv"
"Central Otago District Council","Central_Otago_District_Council.csv"
"Chatham Islands Council","Chatham_Islands_Council.csv"
"Christchurch City Council","Christchurch_City_Council.csv"
"Clutha District Council","Clutha_District_Council.csv"
"Dunedin City Council","Dunedin_City_Council.csv"
"Far North District Council","Far_North_District_Council.csv"
"Gisborne District Council","Gisborne_District_Council.csv"
"Gore District Council","Gore_District_Council.csv"
"Greater Wellington Regional Council","Greater_Wellington_Regional_Council.csv"
"Grey District Council","Grey_District_Council.csv"
"Hamilton City Council","Hamilton_City_Council.csv"
"Hastings District Council","Hastings_District_Council.csv"
"Hauraki District Council","Hauraki_District_Council.csv"
"Hawkes Bay Regional Council","Hawkes_Bay_Regional_Council.csv"
"Horowhenua District Council","Horowhenua_District_Council.csv"
"Hurunui District Council","Hurunui_District_Council.csv"
"Hutt City Council","Hutt_City_Council.csv"
"Invercargill City Council","Invercargill_City_Council.csv"
"Kaikoura District Council","Kaikoura_District_Council.csv"
"Kaipara District Council","Kaipara_District_Council.csv"
"Kapiti Coast District Council","Kapiti_Coast_District_Council.csv"
"Kawerau District Council","Kawerau_District_Council.csv"
"Mackenzie District Council","Mackenzie_District_Council.csv"
"Manawatu District Council","Manawatu_District_Council.csv"
"Manawatu-Wanganui Regional Council","Manawatu-Wanganui_Regional_Council.csv"
"Marlborough District Council","Marlborough_District_Council.csv"
"Masterton District Council","Masterton_District_Council.csv"
"Matamata-Piako District Council","Matamata-Piako_District_Council.csv"
"Napier City Council","Napier_City_Council.csv"
"Nelson City Council","Nelson_City_Council.csv"
"New Plymouth District Council","New_Plymouth_District_Council.csv"
"Northland Regional Council","Northland_Regional_Council.csv"
"Opotiki District Council","Opotiki_District_Council.csv"
"Otago Regional Council","Otago_Regional_Council.csv"
"Otorohanga District Council","Otorohanga_District_Council.csv"
"Palmerston North City Council","Palmerston_North_City_Council.csv"
"Porirua City Council","Porirua_City_Council.csv"
"Queenstown Lakes District Council","Queenstown_Lakes_District_Council.csv"
"Rangitikei District Council","Rangitikei_District_Council.csv"
"Rotorua District Council","Rotorua_District_Council.csv"
"Ruapehu District Council","Ruapehu_District_Council.csv"
"Selwyn District Council","Selwyn_District_Council.csv"
"South Taranaki District Council","South_Taranaki_District_Council.csv"
"South Waikato District Council","South_Waikato_District_Council.csv"
"South Wairarapa District Council","South_Wairarapa_District_Council.csv"
"Southland District Council","Southland_District_Council.csv"
"Southland Regional Council","Southland_Regional_Council.csv"
"Stratford District Council","Stratford_District_Council.csv"
"Taranaki Regional Council","Taranaki_Regional_Council.csv"
"Tararua District Council","Tararua_District_Council.csv"
"Tasman District Council","Tasman_District_Council.csv"
"Taupo District Council","Taupo_District_Council.csv"
"Tauranga City Council","Tauranga_City_Council.csv"
"Thames-Coromandel District Council","Thames-Coromandel_District_Council.csv"
"Timaru District Council","Timaru_District_Council.csv"
"Upper Hutt City Council","Upper_Hutt_City_Council.csv"
"Waikato District Council","Waikato_District_Council.csv"
"Waikato Regional Council","Waikato_Regional_Council.csv"
"Waimakariri District Council","Waimakariri_District_Council.csv"
"Waimate District Council","Waimate_District_Council.csv"
"Waipa District Council","Waipa_District_Council.csv"
"Wairoa District Council","Wairoa_District_Council.csv"
"Waitaki District Council","Waitaki_District_Council.csv"
"Waitomo District Council","Waitomo_District_Council.csv"
"Wanganui District Council","Wanganui_District_Council.csv"
"Wellington City Council","Wellington_City_Council.csv"
"West Coast Regional Council","West_Coast_Regional_Council.csv"
"Western Bay of Plenty District Council","Western_Bay_of_Plenty_District_Council.csv"
"Westland District Council","Westland_District_Council.csv"
"Whakatane District Council","Whakatane_District_Council.csv"
"Whangarei District Council","Whangarei_District_Council.csv"
"Auckland Tourism, Events and Economic Development","Auckland_Tourism,_Events_and_Economic_Development.csv"
"Museums","Museums.csv"
"Auckland City Council","Auckland_City_Council.csv"
"Auckland Regional Council","Auckland_Regional_Council.csv"
"Auckland Regional Transport Authority","Auckland_Regional_Transport_Authority.csv"
"Franklin District Council","Franklin_District_Council.csv"
"Manukau City Council","Manukau_City_Council.csv"
"North Shore City Council","North_Shore_City_Council.csv"
"Papakura District Council","Papakura_District_Council.csv"
"Rodney District Council","Rodney_District_Council.csv"
"Waitakere City Council","Waitakere_City_Council.csv"
